X6-P770DM-105,"['bestbuy', 1150L]"
Samsung NP740,"['amazon', 556L]"
NT.LCEAA.001,"['bestbuy', 958L]"
62617,"['walmart', 134L]"
RZ09-01962E52-R3U1,"['amazon', 31L, 'newEgg', 16L]"
NT.LCEAA.005,"['bestbuy', 1099L]"
80XF0025US,"['amazon', 1150L]"
SpiritBook 1 Large,"['newEgg', 45L]"
WS607RU685CA,"['staples', 342L]"
1110,"['snapdeal', 131L]"
MSI-GS73VR-Pro-033-HID9-CA,"['amazon', 964L]"
W7D80UA#ABL,"['amazon', 565L]"
465746BLK,"['walmart', 23L]"
RZ09-00991101-R3U1,"['amazon', 746L]"
MLH32LL/A,"['bestbuy', 36L]"
NP900X3N-K02US,"['amazon', 650L]"
20FD0004US,"['newEgg', 357L]"
20H500A9CA,"['bestbuy', 1077L]"
C141,"['flipkart', 16L, 'flipkart', 40L]"
TEW-813DRU,"['amazon', 793L]"
MSI-GT73VR-4K-15,"['newEgg', 1737L]"
T460 (20FN002JCA),"['newEgg', 347L, 'newEgg', 486L]"
P4B14UA#ABL,"['amazon', 884L]"
RZ09-01953E72-R3U1,"['amazon', 34L]"
AW13R3-7420SLV-PUS,"['amazon', 877L]"
